"Table 4. 2018 State energy-related carbon dioxide emissions by sector 
	
",,,,,,,,,,,
"Source:  U.S. Energy Information Administration (EIA), State Energy Data System and EIA calculations made for this analysis.",,,,,,,,,,,
State,Commercial,Electric Power,Residential,Industrial,Transportation,Total,Commercial_share,Electric_share,Residential_share,Industrial_share,Transportation_share
AL,2.4,53.9,2.3,22.0,32.8,113.3,2.1%,47.6%,2.0%,19.4%,29.0%
AK,2.0,2.7,1.5,17.4,11.6,35.1,5.8%,7.7%,4.2%,49.4%,32.9%
AZ,2.9,46.8,2.3,4.7,37.2,93.9,3.1%,49.9%,2.4%,5.0%,39.7%
AR,3.5,37.0,2.1,9.1,19.5,71.1,4.9%,52.0%,3.0%,12.7%,27.4%
CA,19.6,33.7,24.8,67.9,210.6,356.6,5.5%,9.5%,7.0%,19.0%,59.0%
CO,4.2,34.2,8.0,13.5,30.8,90.6,4.6%,37.7%,8.8%,14.9%,33.9%
CT,4.3,8.1,7.5,1.9,15.9,37.6,11.5%,21.4%,19.8%,4.9%,42.3%
DE,1.1,2.6,1.0,3.1,5.5,13.3,8.3%,19.2%,7.7%,23.5%,41.2%
DC,1.0,0.0,0.8,0.0,1.1,2.9,34.1%,0.0%,26.8%,0.7%,38.0%
FL,7.1,100.9,1.4,12.3,121.7,243.2,2.9%,41.5%,0.6%,5.0%,50.0%
GA,4.8,52.3,7.8,13.3,64.6,142.8,3.4%,36.6%,5.5%,9.3%,45.3%
HI,0.5,6.4,0.1,1.4,12.1,20.5,2.5%,31.4%,0.3%,7.0%,58.8%
ID,1.4,1.3,1.8,3.5,11.0,19.0,7.6%,6.8%,9.4%,18.2%,58.0%
IL,15.0,67.0,25.4,34.2,70.6,212.2,7.1%,31.6%,11.9%,16.1%,33.3%
IN,6.0,90.2,8.9,44.5,39.3,188.8,3.2%,47.7%,4.7%,23.6%,20.8%
IA,4.3,29.4,5.5,23.1,20.6,82.8,5.2%,35.5%,6.6%,27.9%,24.8%
KS,2.6,23.1,4.2,13.4,18.9,62.3,4.2%,37.1%,6.8%,21.5%,30.4%
KY,2.9,67.1,3.3,13.7,34.3,121.2,2.4%,55.3%,2.7%,11.3%,28.3%
LA,2.5,33.9,2.2,122.8,37.9,199.3,1.3%,17.0%,1.1%,61.6%,19.0%
ME,1.7,1.1,3.1,1.6,7.2,14.8,11.8%,7.3%,20.9%,11.0%,49.1%
MD,5.6,16.3,6.3,3.0,30.4,61.7,9.1%,26.5%,10.2%,4.9%,49.3%
MA,7.9,7.7,13.3,3.5,32.2,64.6,12.2%,11.9%,20.6%,5.4%,49.9%
MI,11.5,58.9,21.0,19.2,53.5,164.1,7.0%,35.9%,12.8%,11.7%,32.6%
MN,7.2,26.7,9.9,17.8,33.5,95.2,7.6%,28.1%,10.4%,18.7%,35.2%
MS,1.7,25.8,1.7,11.6,22.6,63.4,2.7%,40.7%,2.6%,18.3%,35.7%
MO,4.9,65.5,7.2,8.5,38.6,124.7,4.0%,52.5%,5.8%,6.8%,30.9%
MT,1.7,15.2,1.7,4.2,8.1,30.8,5.5%,49.2%,5.5%,13.5%,26.3%
NE,2.3,23.8,2.8,9.3,14.2,52.5,4.5%,45.4%,5.3%,17.7%,27.1%
NV,2.4,13.7,2.4,3.8,18.7,41.0,5.9%,33.4%,5.9%,9.3%,45.5%
NH,1.5,2.1,3.0,0.8,6.9,14.3,10.3%,14.4%,21.1%,5.8%,48.5%
NJ,10.7,17.4,15.8,9.1,52.4,105.4,10.2%,16.5%,15.0%,8.7%,49.7%
NM,1.7,18.3,2.2,7.6,15.5,45.4,3.8%,40.4%,4.8%,16.8%,34.2%
NY,23.2,24.5,36.3,8.6,83.3,175.9,13.2%,13.9%,20.6%,4.9%,47.3%
NC,5.2,48.4,5.5,10.7,54.9,124.8,4.2%,38.8%,4.4%,8.6%,44.0%
ND,1.2,30.3,1.2,17.3,9.1,59.1,2.0%,51.3%,2.0%,29.3%,15.5%
OH,12.4,77.6,18.9,39.0,61.3,209.2,5.9%,37.1%,9.0%,18.6%,29.3%
OK,3.3,33.0,4.2,24.9,32.3,97.7,3.3%,33.8%,4.3%,25.5%,33.0%
OR,2.4,8.4,2.7,4.7,21.7,39.9,6.1%,21.0%,6.8%,11.8%,54.4%
PA,12.2,74.9,21.6,50.7,61.2,220.5,5.5%,34.0%,9.8%,23.0%,27.7%
RI,1.0,3.2,2.3,0.7,4.0,11.1,8.8%,28.5%,20.6%,6.1%,35.9%
SC,2.3,28.8,2.1,7.4,32.9,73.4,3.1%,39.2%,2.8%,10.1%,44.8%
SD,0.9,2.9,1.2,4.0,6.7,15.6,5.6%,18.5%,7.4%,25.4%,43.2%
TN,4.3,26.1,4.6,15.1,44.6,94.7,4.5%,27.6%,4.8%,15.9%,47.1%
TX,14.9,202.3,13.4,231.7,221.8,684.0,2.2%,29.6%,2.0%,33.9%,32.4%
UT,2.8,28.6,3.9,7.0,18.8,61.1,4.5%,46.9%,6.4%,11.5%,30.8%
VT,0.9,0.0,1.5,0.5,3.0,5.9,15.6%,0.0%,25.0%,7.9%,51.6%
VA,6.3,30.6,6.6,11.9,52.3,107.8,5.8%,28.4%,6.1%,11.1%,48.6%
WA,4.8,10.1,5.6,11.3,45.2,77.0,6.2%,13.2%,7.3%,14.7%,58.7%
WV,1.8,61.2,1.8,12.3,12.9,90.0,2.0%,68.0%,2.0%,13.6%,14.4%
WI,6.7,39.9,9.9,14.5,31.0,102.0,6.5%,39.1%,9.7%,14.2%,30.4%
WY,1.0,40.7,1.0,13.2,7.9,63.6,1.5%,63.9%,1.5%,20.8%,12.3%
,,,,,,,,,,,
  ,,,,,,,,,,,
