Category,Count,Acreage,State,Average of Very Unhealthy Days,Average of Hazardous Days,Average of Max AQI,Average of 90th Percentile AQI,Average of Days CO,Average of Median AQI,Average of Days NO2,Average of Days Ozone,Average of Days SO2,Average of Days PM2.5,Average of Days PM10,Average of Good Days,Average of Moderate Days,Average of Unhealthy for Sensitive Groups Days,Average of Unhealthy Days,Commercial,Electric Power,Residential,Industrial,Transportation,Total
 Corn,36312247,8075649.3,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Sorghum,8267,1838.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Soybeans,34858725,7752393.8,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Sunflowers,277439,61700.9,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Sweet Corn,389363,86592.2,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Barley,117989,26240.1,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Durum Wheat,756,168.1,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Spring Wheat,6668311,1482996.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Winter Wheat,11977,2663.6,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Other Small Grains,13,2.9,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Rye,112266,24967.4,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
